s_pps_p4;s_util_p4;s_prio_p4;s_bw_limit_p4;action;reward;next_delay_p4;next_prio_p4;done
0.9879736057896977;0.975422761289531;0;2500000;3;999.591;20.010.049.890.955.000;2;FALSE
0.9809919114516815;0.9717440199284062;0;2500000;0;999.325;2.001.342.184.426.150;1;FALSE
0.9809919114516815;0.9717440199284062;0;2500000;1;999.261;2.000.573.048.138.800;2;FALSE
0.9809919114516815;0.9717440199284062;0;2500000;2;999.538;2.001.342.184.426.150;1;FALSE
0.9809919114516815;0.9717440199284062;0;2500000;3;99.959;2.001.004.970.490.780;2;FALSE
0.9874627501064281;0.9687576986601815;0;2500000;0;999.325;2.001.342.157.488.390;1;FALSE
0.9874627501064281;0.9687576986601815;0;2500000;1;999.261;20.005.730.432.283.200;2;FALSE
0.9874627501064281;0.9687576986601815;0;2500000;2;999.538;2.001.342.157.488.390;1;FALSE
0.9874627501064281;0.9687576986601815;0;2500000;3;999.591;200.100.495.538.839;2;FALSE
0.9893146019582799;0.9700687275670408;0;2500000;0;999.325;2.001.342.169.314.240;1;FALSE
0.9893146019582799;0.9700687275670408;0;2500000;1;999.261;2.000.573.045.384.070;2;FALSE
0.9893146019582799;0.9700687275670408;0;2500000;2;999.538;2.001.342.169.314.240;1;FALSE
0.9893146019582799;0.9700687275670408;0;2500000;3;999.591;20.010.049.620.184.500;2;FALSE
0.9863133248190719;0.9639494210607543;0;2500000;0;999.325;20.013.421.141.181.700;1;FALSE
0.9863133248190719;0.9639494210607543;0;2500000;1;999.261;20.005.730.353.221.300;2;FALSE
0.9863133248190719;0.9639494210607543;0;2500000;2;999.538;20.013.421.141.181.700;1;FALSE
0.9863133248190719;0.9639494210607543;0;2500000;3;999.591;20.010.049.310.729.600;2;FALSE
1.0;1.0;0;2500000;0;999.325;20.013.424.393.594.000;1;FALSE
1.0;1.0;0;2500000;1;99.926;2.000.573.094.604.990;2;FALSE
1.0;1.0;0;2500000;2;999.538;20.013.424.393.594.000;1;FALSE
1.0;1.0;0;2500000;3;99.959;2.001.005.113.409.130;2;FALSE
0.7057045551298425;0.6927674212991233;0;2500000;0;999.326;2.001.339.672.609.820;1;FALSE
0.7057045551298425;0.6927674212991233;0;2500000;1;999.262;20.005.725.897.735.400;2;FALSE
0.7057045551298425;0.6927674212991233;0;2500000;2;999.539;2.001.339.672.609.820;1;FALSE
0.7057045551298425;0.6927674212991233;0;2500000;3;999.591;20.010.035.616.096.400;2;FALSE
0.6078544061302683;0.6040385953106512;0;2500000;0;999.326;20.013.388.756.931.600;1;FALSE
0.6078544061302683;0.6040385953106512;0;2500000;1;999.262;20.005.724.441.436.000;2;FALSE
0.6078544061302683;0.6040385953106512;0;2500000;2;999.539;20.013.388.756.931.600;1;FALSE
0.6078544061302683;0.6040385953106512;0;2500000;3;999.591;2.001.003.114.341.000;2;FALSE
0.7440187313750533;0.7359764161780264;0;2500000;0;999.325;20.013.400.610.343.500;1;FALSE
0.7440187313750533;0.7359764161780264;0;2500000;1;999.261;2.000.572.660.718.960;2;FALSE
0.7440187313750533;0.7359764161780264;0;2500000;2;999.539;20.013.400.610.343.500;1;FALSE
0.7440187313750533;0.7359764161780264;0;2500000;3;999.591;20.010.037.795.641.100;2;FALSE
0.6561089825457642;0.6454626992624943;0;2500000;0;999.326;2.001.339.247.625.120;1;FALSE
0.6561089825457642;0.6454626992624943;0;2500000;1;999.262;2.000.572.512.123.440;2;FALSE
0.6561089825457642;0.6454626992624943;0;2500000;2;999.539;2.001.339.247.625.120;1;FALSE
0.6561089825457642;0.6454626992624943;0;2500000;3;999.591;20.010.033.231.040.400;2;FALSE
0.6173052362707535;0.6228285185053822;0;2500000;0;999.326;20.013.390.443.754.400;1;FALSE
0.6173052362707535;0.6228285185053822;0;2500000;1;999.262;2.000.572.474.977.170;2;FALSE
0.6173052362707535;0.6228285185053822;0;2500000;2;999.539;20.013.390.443.754.400;1;FALSE
0.6173052362707535;0.6228285185053822;0;2500000;3;999.591;20.010.032.090.249.000;2;FALSE
0.6014048531289911;0.5981816223974714;0;2500000;0;999.326;2.001.338.823.122.200;1;FALSE
0.6014048531289911;0.5981816223974714;0;2500000;1;999.262;2.000.572.434.533.200;2;FALSE
0.6014048531289911;0.5981816223974714;0;2500000;2;999.539;2.001.338.823.122.200;1;FALSE
0.6014048531289911;0.5981816223974714;0;2500000;3;999.591;20.010.030.848.309.100;2;FALSE
0.6090251170710942;0.6030777705670656;0;2500000;0;999.326;20.013.388.670.687.200;1;FALSE
0.6090251170710942;0.6030777705670656;0;2500000;1;999.262;20.005.724.425.670.100;2;FALSE
