pca_1,pca_2,tsne_1,tsne_2,label
-2113.15519372945,754.4654212712048,-8.582993,-1.174103,Data Asli
-1683.6353314775042,160.8528923902195,6.260814,-34.397182,Data Asli
18813.05786225913,1684.599058223298,64.22073,-0.46633658,Data Asli
-2283.9001524876876,600.5020385521339,-12.375836,12.6932745,Data Asli
-2046.18004020616,239.3080033421429,-14.153848,29.811817,Data Asli
-2068.858593843921,321.2855154649005,8.950638,38.655888,Data Asli
-3000.5660668782384,332.32855628842117,-17.575638,-4.231613,Data Asli
-2052.1086592497595,275.9188524503752,11.58841,34.27328,Data Asli
5900.55400109776,-11893.73794490195,38.482174,-18.928015,Data Asli
-1612.182021324872,626.3747730504983,3.8449645,14.976577,Data Asli
-2061.6818058425924,271.38684701918464,12.371226,35.62267,Data Asli
-2096.2236540708873,312.86538645598193,-20.198307,31.700294,Data Asli
-2943.231665766696,293.01003694287374,-17.35149,-4.819658,Data Asli
17220.636972384793,2066.127178984788,69.41995,0.6251486,Data Asli
-794.0976347215983,740.3086681445393,19.719007,-22.426176,Data Asli
-978.9328827913123,210.72777951018088,9.33284,14.249571,Data Asli
-2081.885228984571,300.68257928937146,-18.481583,31.810598,Data Asli
-1548.1094845564476,91.68665546952707,7.255711,-33.45852,Data Asli
17736.069914661148,2055.5319668371462,67.52754,3.7776062,Data Asli
6329.247243450147,-10789.121478774614,38.453217,-17.840452,Data Asli
-2111.7257949834566,781.577631796189,-8.276142,2.1013656,Data Asli
-2135.382380211173,661.6726911543637,-8.995129,-2.3632464,Data Asli
-1784.2118579405796,14.356299520514767,19.703894,-10.9806385,Data Asli
-1014.6495970114265,-240.36573738047446,9.72057,-28.753344,Data Asli
6771.203177709685,-11702.487651175783,38.92641,-19.081173,Data Asli
-2074.1030198607405,293.73063798280873,11.167619,35.691177,Data Asli
18590.904205609488,1284.384768052787,61.4953,1.1458994,Data Asli
-2158.0241052321617,394.8104601242285,-10.39698,-24.85191,Data Asli
-2116.269770160783,364.06573868134456,-10.688257,-25.44296,Data Asli
-1844.2868242165678,-323.6801379244371,10.226543,20.644869,Data Asli
-501.1145991873418,-1920.0629425276238,24.412004,3.3456943,Data Asli
17763.07759114251,2499.8465962314694,66.39627,4.9635644,Data Asli
-1562.2242981533782,227.6165642004671,7.358174,-34.68565,Data Asli
-2823.4086129112256,-252.3629816970897,-32.105106,-0.65305555,Data Asli
17180.782380509354,2437.682855218157,69.85716,0.5245636,Data Asli
-2004.335207386648,336.2205456316351,12.437609,-8.679591,Data Asli
-2882.100944091524,261.8101181000893,-18.008574,-4.620789,Data Asli
-1847.0189319044512,401.4715876969394,13.035928,-5.4746127,Data Asli
-1967.1558961596202,213.24215599415675,-8.590888,31.89871,Data Asli
3449.6196812540184,413.7668909870599,33.38179,7.6670375,Data Asli
-1772.6325861723963,231.4388073106702,5.385847,-35.116547,Data Asli
-2015.5955822601973,192.26070774376421,-10.4580965,29.59143,Data Asli
18435.791620148597,2151.25456913073,64.68173,2.3856921,Data Asli
-2351.072040154413,600.5701186496472,-1.259948,-10.545294,Data Asli
18108.975094774436,1816.6780330240676,65.90854,4.154585,Data Asli
-1931.762936317271,340.43226299470916,13.166055,-6.923214,Data Asli
-2102.646435823972,344.59504243996344,8.662369,42.11683,Data Asli
-1386.0839491120169,-504.38785326862217,15.748251,-27.548244,Data Asli
-1826.1980821051584,388.5741153912704,4.934065,-36.629566,Data Asli
-2058.4962911726398,298.8510434519849,13.543081,-12.103999,Data Asli
-1526.4977206685362,86.65864788869567,7.7628946,-33.535267,Data Asli
18746.953848615787,2131.344826532195,64.32807,1.3672434,Data Asli
-882.0656866129029,-728.3994845731595,16.465078,-28.689106,Data Asli
-2111.519052797932,359.78670971192787,-10.367083,-25.67918,Data Asli
-2446.6358503593583,1129.5029577771948,-10.963845,-15.986721,Data Asli
-2297.091224006803,510.9377258487448,-12.776498,13.444591,Data Asli
2166.0247878058326,165.22825777940125,31.792294,8.160885,Data Asli
10654.094185640413,1712.1043437623644,43.626484,-0.83456165,Data Asli
-3008.305239627469,367.5645572723224,-15.949998,-14.600833,Data Asli
-2076.4037517465513,349.229232122354,7.5325584,40.687794,Data Asli
-884.3135599976995,-333.8892341609653,10.022285,-28.629824,Data Asli
-2845.949796537603,-133.32099001923052,-27.956596,-11.2986145,Data Asli
-2232.0673380176377,158.66042428617402,-21.635708,27.201618,Data Asli
-958.4853209386529,-707.9517066256103,16.377619,-28.313362,Data Asli
-2061.874412474619,289.95365913096975,12.775922,-12.4934435,Data Asli
-2152.668370506013,246.72341152104582,-20.892126,28.255293,Data Asli
-2080.0645438103456,322.20480561860586,-19.688726,33.09611,Data Asli
-2081.878949177397,327.92700876051185,-19.563324,33.130848,Data Asli
-2059.2088492276307,130.18558276007843,7.862575,30.437492,Data Asli
-1098.7346211156837,-97.56603954711318,9.679881,-29.17138,Data Asli
-2007.7190843175085,232.12096262460454,17.021364,-11.388746,Data Asli
-2268.6669814995003,573.0209601060342,-17.376842,18.46473,Data Asli
5884.686006526386,-11499.25692070631,38.06317,-18.652588,Data Asli
17201.35719998061,1283.890442671035,68.71257,4.7534614,Data Asli
4707.0987946627465,-11198.333983377834,37.18591,-18.617186,Data Asli
-1775.37564987507,324.84134806274415,5.641175,33.027695,Data Asli
-2067.614385875753,298.9667957031643,13.50137,-12.461427,Data Asli
-2053.9061982295607,388.1726073599666,-5.4254007,-25.319574,Data Asli
-1791.6713108493714,49.937876372086976,-1.2817652,26.93531,Data Asli
5018.41117551372,-11102.28118155916,37.483658,-18.23124,Data Asli
-605.352149518003,641.4384781863928,19.700647,-22.651154,Data Asli
-1682.3446750646253,65.98664805612043,3.2123666,-25.482857,Data Asli
-2181.267814345949,250.42260016540604,14.354917,40.548912,Data Asli
-2047.5777069992764,274.4780944044687,15.242275,-12.174683,Data Asli
-2422.7111925491263,-20.710489989027337,-13.548843,-24.788567,Data Asli
-1872.0627264500072,-310.85240388913644,10.041335,20.924776,Data Asli
-2016.9240147129494,343.47527234058634,5.901421,37.141632,Data Asli
17318.607567695468,2510.365648812643,68.98994,3.3523014,Data Asli
5966.849591536327,-12644.757073334222,38.050793,-19.878164,Data Asli
-2052.832463337654,33.518246038318466,-6.8113728,27.03454,Data Asli
-2943.663386230857,-130.15618278675538,-28.403357,-11.37183,Data Asli
-2111.786195787321,464.32954487505503,-10.363786,14.920199,Data Asli
17807.170105227804,2100.8829454079587,67.20134,3.6482317,Data Asli
18613.064257035,2623.978118374002,64.281044,3.1533954,Data Asli
-2372.6804169319767,563.7187066910674,-18.194765,17.574337,Data Asli
-1841.4451450503002,55.80351923505077,7.9576573,27.45166,Data Asli
-2293.4728102457775,967.1471979543817,-9.711472,1.7327905,Data Asli
6915.142443985078,-11472.148626995753,38.888447,-18.320927,Data Asli
17770.70780443006,2193.26921218028,67.995255,-0.15981838,Data Asli
-2193.2508119802005,619.9161502748948,-9.088842,-2.4734144,Data Asli
5441.847256091882,-11825.831615881812,37.578968,-19.310684,Data Asli
-2077.694815951876,464.5055629976896,-3.5769122,-28.997356,Data Asli
-1994.372771577444,365.53353558901017,3.7165954,-36.57081,Data Asli
-934.3855445287045,477.60808619007275,7.7325187,13.134644,Data Asli
-2056.484775297158,324.9945297442464,-9.771816,-26.402206,Data Asli
-2335.272130477286,586.4254906349634,-5.9467244,-23.82723,Data Asli
-2064.5029240103795,287.454323167427,11.455027,35.23345,Data Asli
-2432.606551295983,1082.364657390247,-10.599564,0.4212046,Data Asli
-1606.467528616813,98.36888493344213,12.992823,-19.781523,Data Asli
-2058.646174387508,298.27184943143675,10.152399,34.949066,Data Asli
-2089.682464010628,323.451262271642,11.026296,-12.23222,Data Asli
-2055.5770345411183,290.75291585460855,14.301735,-12.241427,Data Asli
-2940.990363849629,441.6971389735845,-17.168339,-2.4707072,Data Asli
-1846.3227077027223,355.25361193053413,-4.417313,-25.564579,Data Asli
-2113.229674590675,342.2344342878732,9.791514,41.399654,Data Asli
-1665.8235435068964,198.3732963923312,2.641759,-26.160671,Data Asli
19377.47381344596,2885.1085850723302,63.374714,0.46778563,Data Asli
-1916.1738512267984,-335.8367906183694,10.439222,19.75574,Data Asli
-2093.695356019165,320.01723460026005,-10.891072,-26.121183,Data Asli
17860.5384961223,2199.5659960719368,66.41094,2.8766048,Data Asli
-2035.4909428332394,243.8796052509806,11.415325,30.783945,Data Asli
-2128.786445249676,343.22893838297387,-22.176311,32.1118,Data Asli
-2027.958925834926,269.6878477656119,9.997076,32.539158,Data Asli
6243.862927642018,-11606.763018200309,38.444416,-18.484077,Data Asli
-2048.7741136943914,311.51893029130406,-16.593208,33.451252,Data Asli
-2949.394719214528,-144.74057877342238,-31.426857,-0.7107803,Data Asli
-2337.0422850266077,578.3630534883978,-12.881953,12.311162,Data Asli
-1975.5706361579541,226.6165782374328,-9.040743,31.792353,Data Asli
713.0827172050704,-4196.136176166647,27.453657,3.2621734,Data Asli
-1779.819829085045,22.44214930054386,3.0646987,-24.324984,Data Asli
-2264.217362755793,613.573584416542,-17.150705,18.160631,Data Asli
-2104.8435986225995,312.81234074024815,11.259308,40.247635,Data Asli
-2310.621306187906,538.6115186137276,-9.931482,-1.3713944,Data Asli
17529.51922519931,2132.1361949597867,68.780685,-0.29496032,Data Asli
-1986.1029794547794,179.08844039938685,17.940083,-11.318264,Data Asli
9788.893306546459,1711.3805665084815,43.256058,-0.77549046,Data Asli
-2235.7302733901306,540.8046718521737,-9.643398,-22.890692,Data Asli
-1562.6118243354867,199.95201273434122,7.6102357,-34.622463,Data Asli
-2998.5439780359047,329.4783902149493,-17.529806,-2.563804,Data Asli
-2207.9395691852587,173.64498045761502,-12.3462305,-25.661697,Data Asli
-2125.079959072911,312.35690085990063,-21.472527,31.377806,Data Asli
-2008.3508859592002,374.10811301962167,5.4344454,37.83298,Data Asli
-2043.1684247110134,251.3003030568516,-15.725837,29.720509,Data Asli
-1412.8705943146415,519.4935302017047,-4.020539,-16.450983,Data Asli
-1625.5199454218564,-420.2911799043368,13.489117,-23.472095,Data Asli
-1857.6970871939993,81.82563767599004,19.307644,-11.312455,Data Asli
-2921.69326423824,-229.78768872248747,-29.804901,-7.0092936,Data Asli
-2081.0389909085134,314.914596555599,-18.418953,32.36349,Data Asli
-2824.0118324692703,-289.50749874511166,-28.660194,-11.465404,Data Asli
-1511.7737219300288,693.8371697839139,3.824038,12.654422,Data Asli
-2283.0604503282702,460.4166155164603,-12.581166,13.904378,Data Asli
-1598.6073534354837,207.12946464228116,2.9128776,-26.442194,Data Asli
-2062.3454692585874,308.31305574419184,-19.824417,34.680824,Data Asli
-1588.1446455177793,350.7556290273151,4.1270213,15.806464,Data Asli
