[START] 2026-01-17T08:16:21Z bridge=br0 duration=600 interval=1
[INFO] Delay log path: /home/ovs/sdn-iot/pengujian/delay_log.csv
[INFO] Output dataset : /home/ovs/sdn-iot/pengujian/allport/dataset_dqn.csv
[PROGRESS] ts=2026-01-17T08:17:54Z rows=84 delay(dht11)=5.190 delay(camera)=5.673 delay(max)=5.217
[PROGRESS] ts=2026-01-17T08:17:55Z rows=85 delay(dht11)=5.200 delay(camera)=5.541 delay(max)=5.180
[PROGRESS] ts=2026-01-17T08:17:57Z rows=86 delay(dht11)=5.178 delay(camera)=5.541 delay(max)=5.180
[PROGRESS] ts=2026-01-17T08:17:58Z rows=87 delay(dht11)=5.233 delay(camera)=5.541 delay(max)=5.180
[PROGRESS] ts=2026-01-17T08:17:59Z rows=88 delay(dht11)=5.197 delay(camera)=5.541 delay(max)=5.208
[PROGRESS] ts=2026-01-17T08:18:00Z rows=89 delay(dht11)=5.182 delay(camera)=5.650 delay(max)=5.208
[PROGRESS] ts=2026-01-17T08:18:01Z rows=90 delay(dht11)=5.227 delay(camera)=5.650 delay(max)=5.208
[PROGRESS] ts=2026-01-17T08:18:02Z rows=91 delay(dht11)=5.199 delay(camera)=5.650 delay(max)=5.178
[PROGRESS] ts=2026-01-17T08:18:03Z rows=92 delay(dht11)=5.193 delay(camera)=5.672 delay(max)=5.178
[PROGRESS] ts=2026-01-17T08:18:04Z rows=93 delay(dht11)=5.191 delay(camera)=5.672 delay(max)=5.215
[PROGRESS] ts=2026-01-17T08:18:06Z rows=94 delay(dht11)=5.176 delay(camera)=5.672 delay(max)=5.215
[PROGRESS] ts=2026-01-17T08:18:07Z rows=95 delay(dht11)=5.183 delay(camera)=5.758 delay(max)=5.215
[PROGRESS] ts=2026-01-17T08:18:08Z rows=96 delay(dht11)=5.160 delay(camera)=5.758 delay(max)=5.163
[PROGRESS] ts=2026-01-17T08:18:09Z rows=97 delay(dht11)=5.215 delay(camera)=5.758 delay(max)=5.163
[PROGRESS] ts=2026-01-17T08:18:10Z rows=98 delay(dht11)=5.209 delay(camera)=5.421 delay(max)=5.163
[PROGRESS] ts=2026-01-17T08:18:11Z rows=99 delay(dht11)=5.230 delay(camera)=5.421 delay(max)=6.231
[PROGRESS] ts=2026-01-17T08:18:12Z rows=100 delay(dht11)=5.205 delay(camera)=5.421 delay(max)=6.231
[PROGRESS] ts=2026-01-17T08:18:13Z rows=101 delay(dht11)=5.219 delay(camera)=5.421 delay(max)=5.174
[PROGRESS] ts=2026-01-17T08:18:15Z rows=102 delay(dht11)=5.165 delay(camera)=5.838 delay(max)=5.174
[PROGRESS] ts=2026-01-17T08:18:16Z rows=103 delay(dht11)=5.167 delay(camera)=5.838 delay(max)=5.174
[PROGRESS] ts=2026-01-17T08:18:17Z rows=104 delay(dht11)=5.159 delay(camera)=5.440 delay(max)=5.834
[PROGRESS] ts=2026-01-17T08:18:18Z rows=105 delay(dht11)=5.161 delay(camera)=5.440 delay(max)=5.834
[PROGRESS] ts=2026-01-17T08:18:19Z rows=106 delay(dht11)=5.196 delay(camera)=6.793 delay(max)=5.834
[PROGRESS] ts=2026-01-17T08:18:20Z rows=107 delay(dht11)=5.139 delay(camera)=6.522 delay(max)=5.190
[PROGRESS] ts=2026-01-17T08:18:21Z rows=108 delay(dht11)=5.197 delay(camera)=7.854 delay(max)=5.190
[PROGRESS] ts=2026-01-17T08:18:22Z rows=109 delay(dht11)=5.181 delay(camera)=7.854 delay(max)=5.154
[PROGRESS] ts=2026-01-17T08:18:24Z rows=110 delay(dht11)=5.172 delay(camera)=5.995 delay(max)=5.154
[PROGRESS] ts=2026-01-17T08:18:25Z rows=111 delay(dht11)=5.285 delay(camera)=5.995 delay(max)=5.154
[PROGRESS] ts=2026-01-17T08:18:26Z rows=112 delay(dht11)=5.154 delay(camera)=5.995 delay(max)=5.190
[PROGRESS] ts=2026-01-17T08:18:27Z rows=113 delay(dht11)=5.171 delay(camera)=5.995 delay(max)=5.190
[PROGRESS] ts=2026-01-17T08:18:28Z rows=114 delay(dht11)=5.185 delay(camera)=5.995 delay(max)=5.190
[PROGRESS] ts=2026-01-17T08:18:29Z rows=115 delay(dht11)=5.119 delay(camera)=5.457 delay(max)=5.218
[PROGRESS] ts=2026-01-17T08:18:30Z rows=116 delay(dht11)=5.132 delay(camera)=5.544 delay(max)=5.218
[PROGRESS] ts=2026-01-17T08:18:32Z rows=117 delay(dht11)=5.267 delay(camera)=5.544 delay(max)=5.157
[PROGRESS] ts=2026-01-17T08:18:33Z rows=118 delay(dht11)=5.223 delay(camera)=5.544 delay(max)=5.157
[PROGRESS] ts=2026-01-17T08:18:34Z rows=119 delay(dht11)=5.122 delay(camera)=5.544 delay(max)=5.157
[PROGRESS] ts=2026-01-17T08:18:35Z rows=120 delay(dht11)=5.142 delay(camera)=5.478 delay(max)=5.176
[PROGRESS] ts=2026-01-17T08:18:36Z rows=121 delay(dht11)=5.164 delay(camera)=5.478 delay(max)=5.176
[PROGRESS] ts=2026-01-17T08:18:37Z rows=122 delay(dht11)=5.153 delay(camera)=5.478 delay(max)=5.176
[PROGRESS] ts=2026-01-17T08:18:38Z rows=123 delay(dht11)=5.144 delay(camera)=5.478 delay(max)=5.431
[PROGRESS] ts=2026-01-17T08:18:39Z rows=124 delay(dht11)=5.161 delay(camera)=5.547 delay(max)=5.431
[PROGRESS] ts=2026-01-17T08:18:41Z rows=125 delay(dht11)=5.196 delay(camera)=5.547 delay(max)=5.176
[PROGRESS] ts=2026-01-17T08:18:42Z rows=126 delay(dht11)=5.127 delay(camera)=5.547 delay(max)=5.176
[PROGRESS] ts=2026-01-17T08:18:43Z rows=127 delay(dht11)=5.645 delay(camera)=5.547 delay(max)=5.176
[PROGRESS] ts=2026-01-17T08:18:44Z rows=128 delay(dht11)=5.154 delay(camera)=5.921 delay(max)=5.250
[PROGRESS] ts=2026-01-17T08:18:45Z rows=129 delay(dht11)=5.204 delay(camera)=5.921 delay(max)=5.250
[PROGRESS] ts=2026-01-17T08:18:46Z rows=130 delay(dht11)=5.147 delay(camera)=5.921 delay(max)=5.250
[PROGRESS] ts=2026-01-17T08:18:47Z rows=131 delay(dht11)=5.143 delay(camera)=5.921 delay(max)=5.144
[PROGRESS] ts=2026-01-17T08:18:48Z rows=132 delay(dht11)=5.155 delay(camera)=5.353 delay(max)=5.144
[PROGRESS] ts=2026-01-17T08:18:50Z rows=133 delay(dht11)=5.639 delay(camera)=5.353 delay(max)=5.138
[PROGRESS] ts=2026-01-17T08:18:51Z rows=134 delay(dht11)=5.129 delay(camera)=5.353 delay(max)=5.138
[PROGRESS] ts=2026-01-17T08:18:52Z rows=135 delay(dht11)=5.167 delay(camera)=5.361 delay(max)=5.138
[PROGRESS] ts=2026-01-17T08:18:53Z rows=136 delay(dht11)=5.146 delay(camera)=5.661 delay(max)=5.130
