timestamp,device_id,src_ip,delay_ms
2026-01-16T08:39:33Z,max,192.168.15.237,-7.863
2026-01-16T08:39:35Z,camera,192.168.15.237,-7.474
2026-01-16T08:39:36Z,dht11,192.168.15.237,-7.962
2026-01-16T08:39:37Z,camera,192.168.15.237,-7.701
2026-01-16T08:39:37Z,max,192.168.15.237,-7.917
2026-01-16T08:39:41Z,max,192.168.15.237,-8.033
2026-01-16T08:39:41Z,dht11,192.168.15.237,-8.114
2026-01-16T08:39:42Z,camera,192.168.15.237,-7.815
2026-01-16T08:39:45Z,max,192.168.15.237,-8.192
2026-01-16T08:39:46Z,dht11,192.168.15.237,-8.203
2026-01-16T08:39:47Z,camera,192.168.15.237,-7.758
2026-01-16T08:39:49Z,max,192.168.15.237,-6.139
2026-01-16T08:39:51Z,dht11,192.168.15.237,-8.355
2026-01-16T08:39:52Z,camera,192.168.15.237,-8.122
2026-01-16T08:39:53Z,max,192.168.15.237,-8.254
2026-01-16T08:39:55Z,camera,192.168.15.237,-7.894
2026-01-16T08:39:56Z,dht11,192.168.15.237,-8.435
2026-01-16T08:39:57Z,max,192.168.15.237,-8.491
2026-01-16T08:40:00Z,camera,192.168.15.237,-8.053
2026-01-16T08:40:01Z,max,192.168.15.237,-8.600
2026-01-16T08:40:01Z,dht11,192.168.15.237,-8.596
2026-01-16T08:40:05Z,camera,192.168.15.237,-8.447
2026-01-16T08:40:05Z,max,192.168.15.237,-8.599
2026-01-16T08:40:07Z,dht11,192.168.15.237,-8.455
2026-01-16T08:40:08Z,camera,192.168.15.237,-8.268
2026-01-16T08:40:09Z,max,192.168.15.237,-8.785
2026-01-16T08:40:10Z,camera,192.168.15.237,-8.295
2026-01-16T08:40:12Z,dht11,192.168.15.237,-8.818
2026-01-16T08:40:13Z,max,192.168.15.237,-8.821
2026-01-16T08:40:14Z,camera,192.168.15.237,-8.724
2026-01-16T08:40:15Z,camera,192.168.15.237,-8.390
2026-01-16T08:40:16Z,camera,192.168.15.237,-8.418
2026-01-16T08:40:17Z,dht11,192.168.15.237,-8.098
2026-01-16T08:40:17Z,camera,192.168.15.237,-8.682
2026-01-16T08:40:17Z,max,192.168.15.237,-8.920
2026-01-16T08:40:19Z,camera,192.168.15.237,-8.801
2026-01-16T08:40:21Z,max,192.168.15.237,-8.998
2026-01-16T08:40:22Z,dht11,192.168.15.237,-9.133
2026-01-16T08:40:24Z,camera,192.168.15.237,-8.448
2026-01-16T08:40:25Z,max,192.168.15.237,-6.806
2026-01-16T08:40:27Z,dht11,192.168.15.237,-9.238
2026-01-16T08:40:28Z,camera,192.168.15.237,-8.990
2026-01-16T08:40:29Z,max,192.168.15.237,-9.129
2026-01-16T08:40:32Z,dht11,192.168.15.237,-9.345
2026-01-16T08:40:32Z,camera,192.168.15.237,-8.811
2026-01-16T08:40:33Z,max,192.168.15.237,-9.365
2026-01-16T08:40:35Z,camera,192.168.15.237,-9.182
2026-01-16T08:40:37Z,dht11,192.168.15.237,-9.530
2026-01-16T08:40:37Z,max,192.168.15.237,-9.502
2026-01-16T08:40:38Z,camera,192.168.15.237,-9.129
2026-01-16T08:40:39Z,camera,192.168.15.237,-9.008
2026-01-16T08:40:41Z,max,192.168.15.237,-9.556
2026-01-16T08:40:42Z,dht11,192.168.15.237,-9.664
2026-01-16T08:40:44Z,camera,192.168.15.237,-9.061
2026-01-16T08:40:45Z,camera,192.168.15.237,-9.283
2026-01-16T08:40:45Z,max,192.168.15.237,-9.680
2026-01-16T08:40:47Z,dht11,192.168.15.237,-9.749
