Proposed (SDH-PPO),PPO Standard,DQN,DDQN,Static
6.238960746620943,6.9173640758906885,6.5164022,6.5164022,5.846560611481594
6.2954525441336076,6.633531891863681,6.5828357,6.648664057,6.926499543562837
6.18014692452842,6.34028678820163,6.447105,6.51157605,6.424511885722815
6.276878285313368,6.591527882754326,6.56098,6.6265898,7.105979526215082
6.869019629777253,7.304479614436031,7.25767,7.25767,7.080055312336071
7.002566193076765,7.182052744922256,7.414751,7.414751,7.168174833562139
6.4138339897376,6.592926080738247,6.7219796,6.789199396,6.82516579040096
6.832778733029705,7.592657880688849,7.2150335,7.2150335,7.379508301044903
6.637971955192954,6.872005982560119,6.9858365,7.055694865,7.216179988224601
6.913897335257709,7.184940493626892,7.310445,7.310445,6.231776014683843
6.319347607785976,6.453290630492908,6.610983,6.610983,6.1159213567119615
6.592151682652763,6.843515069516015,6.931939,7.00125839,7.138544418110215
7.099011172287407,7.304568288406439,7.5282288,7.603511088,7.685736767204024
6.863998225057224,7.139342542558568,7.2516794,7.324196194000001,7.069109312867222
6.200791288920298,6.401333985268364,6.4714336,6.536147936,6.527703338335542
6.901803280727291,7.127137824502456,7.296206,7.296206,6.470656272834398
6.350127492610305,6.542323084318709,6.647078,6.647078,6.446480020793847
6.751281724257891,6.909319498071399,7.1191516,7.1191516,6.431152068044899
6.62112914164772,7.069204961293792,6.965824,6.965824,6.119584274104535
6.1480124540492955,6.30223345335831,6.409323,6.409323,5.998172821820618
6.61977660633485,6.775208820589606,6.9644427,6.9644427,5.163811965933853
6.5521562951190875,7.033301062407543,6.8848844,6.953733244,7.02656108397938
6.7368388050000005,7.720854014364872,7.1021633,7.173184933,7.261553274935296
6.616537872424991,7.140525015819527,6.9606314,7.030237713999999,7.294772872892098
6.480309035799987,6.768855520809268,6.8003635,6.868367135,6.912270229749431
6.309668903565173,7.493633599371926,6.5996027,6.665598727,6.798480840575542
6.908177691803038,7.436676540130949,7.303738,7.37677538,7.645572776020894
6.66123830924511,6.91604259128809,7.0132,7.083332,7.303971466201445
6.44971483464405,6.675134594654024,6.76409,6.76409,6.3197944417927
6.859864355265033,7.088212726113367,7.246892,7.31936092,7.810911357206474
6.580666151743698,6.793593997301178,6.9184256,6.987609856,7.232176676743345
6.8473543521072235,7.223558884581389,7.2321787,7.304500487,7.721120017384809
6.717765671828315,7.084171982592192,7.0796328,7.150429128,7.470040341411747
5.998802660877853,6.189651977976324,6.2338805,6.296219305,6.32002704673936
6.417887105356919,6.627205521496773,6.726844,6.726844,6.949233681994814
6.359334062272832,6.801040391030317,6.658033,6.72461333,6.9791030636798
6.65061938960167,8.167100043673248,7.000727,7.000727,7.279776912838408
6.3963668,6.895777383571101,6.701608,6.701608,5.531312466159463
6.376690735142082,6.514293093343268,6.6784573,6.6784573,5.635839183078325
6.247028517771661,6.512206329684615,6.52591,6.5911691,7.039662118009545
6.444999546000087,6.628264093532145,6.758822,6.758822,5.306630179035756
6.511197322744728,6.735005121908189,6.8367,6.8367,6.347256766933231
7.0178543454070805,7.261224298517037,7.432762,7.432762,7.64469437904669
6.743829103626236,7.183892753920928,7.1103625,7.1103625,7.016475907109367
6.279505458687842,6.428680179029679,6.564124,6.629765239999999,6.615811249922837
6.48771114454571,6.63579507136668,6.809043,6.809043,7.033775053066864
6.859268486110652,7.131725878665781,7.246006,7.246006,7.788364936919732
6.508075183852795,7.04515397578023,6.8330274,6.901357674,7.147745884722027
6.996969579590786,7.20107431045802,7.4081607,7.4081607,7.345617619601968
6.91034174,7.516591209660128,7.3062844,7.379347244,7.861709903792048
6.39267111130755,6.726761153371776,6.696862,6.696862,6.280663026459354
6.606501189160013,6.77029574909796,6.9487753,7.018263053,7.1818413860494905
6.4865482696110695,6.707377417528497,6.8076215,6.8076215,5.924221420814742
