P1,P2,P4
5.4477024,93.88916,7.5002837
6.2789345,77.46798,6.716206
5.934454,72.0333,6.43913
6.651932,71.191925,6.9157586
6.208984,46.21736,6.7009583
5.803626,86.58898,6.8019786
6.0229826,72.33828,6.6517477
5.8044076,65.09535,6.4835353
6.1517477,55.586098,6.673647
6.1767144,58.607193,6.905617
5.8682976,88.57151,7.209407
5.9843097,58.76783,6.610587
5.8651714,90.3137,7.776667
5.7980475,86.979256,7.4480734
6.3025126,66.41084,7.018974
6.3874063,71.29281,7.48381
6.385549,64.81115,6.7672477
5.9477844,84.34131,7.056316
6.2887444,86.96406,7.0409226
5.70029,73.57454,7.3409047
5.7092314,86.83245,7.5100036
6.291593,85.200836,7.7046304
5.9681234,67.11502,6.8718863
6.013867,52.333923,6.664164
6.3876762,64.136665,6.6462145
5.986576,82.064156,7.2978325
6.135266,69.06725,6.7164354
5.483826,97.13467,6.6439023
5.9295382,78.94777,6.319244
6.245215,70.24428,7.138233
6.3479342,65.520874,6.950873
6.1901712,79.78417,7.187898
5.6194468,76.62049,6.462532
6.267034,74.180016,6.8433967
5.989657,58.375427,6.470727
6.381282,59.33145,6.8514853
5.85202,82.31995,7.3912525
6.140385,60.181343,6.749997
5.592931,82.595055,6.9278193
5.7262573,72.06184,6.9333797
6.1319323,62.542183,6.545518
6.216298,55.973557,6.894817
6.1543875,58.420357,6.480749
6.202088,74.99647,6.6723924
6.132481,64.85202,7.2225184
6.146738,70.718994,6.7343445
5.9250374,94.69796,7.059798
6.329825,64.62208,6.791133
6.1837726,94.90822,7.176071
6.0728154,76.96671,6.973329
6.1269097,85.102486,7.2445297
6.447791,64.65344,6.058762
6.0360203,67.94269,6.588204
5.946377,75.55185,6.9847484
6.443278,64.03677,6.9234324
6.166334,67.91224,6.689035
6.332742,70.04671,6.5406075
5.8568716,95.43869,7.267635
6.0368285,75.46665,7.25636
5.8101015,71.41017,6.794635
6.2164783,64.841324,6.5740733
5.5477147,67.54889,6.787262
5.7507973,87.885414,7.399315
5.8335385,64.091896,6.955586
6.0924416,83.54147,7.4381948
5.8098016,67.32386,7.012365
5.835126,79.00096,7.0716186
6.3684807,51.321457,6.578099
6.080947,68.08451,6.9247007
6.2148104,63.199287,6.809099
6.1140695,78.33782,7.0372624
5.9564347,74.90744,7.308027
6.1274767,67.11739,7.210205
6.055215,78.85978,7.457046
5.9400277,65.93057,6.4721627
6.130865,71.9184,6.571184
6.2603283,85.6815,6.826522
6.256873,69.08177,7.0341187
5.7385178,86.08482,6.6304264
6.074785,72.52241,6.8932014
6.169138,72.78791,6.52385
5.4542756,71.11372,6.8530736
6.0177135,64.292076,6.861594
6.336014,60.780556,7.2038527
5.800804,61.28842,7.0803566
6.531834,74.32068,6.8162484
6.1370435,55.374054,6.7163444
6.0352263,64.118034,6.9986353
5.4212866,89.78862,7.599536
5.960341,67.837395,6.343377
5.7554474,89.7428,7.4684486
6.4433274,79.408195,6.9918914
5.5706954,61.080193,6.5634813
6.0121593,95.044426,7.4265513
6.2120967,61.564995,7.305932
6.3043137,58.218536,7.025344
6.1706853,49.287186,7.0408044
5.701135,124.62239,7.568564
5.6764717,66.57895,7.135579
6.171633,72.629166,7.0468283
5.8802204,72.60834,7.0586295
6.128175,89.15411,7.2097836
5.8160777,77.46701,6.775544
6.459265,87.53938,7.4760914
6.3643656,95.939316,7.367975
5.729275,66.35898,6.8562617
6.1131086,59.98374,6.963077
6.386576,63.546135,6.7878866
6.6121917,76.33337,7.0024314
6.0979195,76.56295,6.4279265
5.6077914,77.76466,6.3533497
6.219172,53.693863,6.9357743
5.769414,58.29429,6.554981
6.599449,59.153763,6.5983624
5.924896,59.103127,6.8685975
6.1537256,88.229706,7.733015
6.0931816,48.311394,6.763826
5.8947873,67.8909,6.5827775
6.4692407,78.65026,6.7715883
6.1837687,54.431442,6.4603224
5.9867973,61.419144,7.336041
6.1292286,77.93554,6.6382256
5.896967,98.1009,7.675703
6.4653773,61.7511,7.050363
5.9959273,82.376175,6.5569654
5.893162,76.69601,7.0764093
5.826629,85.12717,6.7998724
5.894433,99.6749,7.46931
6.1057506,56.305115,6.6822286
6.30314,51.79235,6.7716956
6.19391,63.25071,7.145557
6.329668,70.23514,6.4819994
6.0861187,86.835075,6.564951
4.966446,102.54575,6.884998
6.035695,73.72835,7.435908
6.2232914,53.91973,6.4043446
6.238865,49.55532,6.8973722
6.261377,75.81532,6.7251577
6.616941,65.25219,6.9443283
5.603934,91.19468,6.7205334
6.016507,57.10675,6.3874702
6.319505,63.069267,6.7580056
6.1110053,50.95546,7.2569175
6.1646495,88.26133,7.3252077
5.6877623,59.768913,6.8250275
5.9530325,72.97242,6.6734233
6.28215,39.927734,7.302105
6.0498314,64.83347,6.877305
5.6907263,71.75492,6.816144
5.7714767,75.61181,7.296843
5.7824235,67.82089,6.7442894
