timestamp,port,rx_bytes,tx_bytes
2026-01-13T19:05:00Z,2,19573722390,17144238376
2026-01-13T19:05:01Z,2,19574273256,17144644636
2026-01-13T19:05:02Z,2,19574856552,17145174736
2026-01-13T19:05:03Z,2,19575412221,17145666556
2026-01-13T19:05:04Z,2,19575970445,17146139596
2026-01-13T19:05:05Z,2,19576518861,17146602436
2026-01-13T19:05:06Z,2,19577109995,17147067436
2026-01-13T19:05:07Z,2,19577660341,17147685376
2026-01-13T19:05:08Z,2,19578208821,17148026476
2026-01-13T19:05:09Z,2,19578804930,17148624196
2026-01-13T19:05:10Z,2,19579376464,17149120396
2026-01-13T19:05:11Z,2,19580034309,17149508476
2026-01-13T19:05:12Z,2,19580628920,17150110996
2026-01-13T19:05:13Z,2,19581202040,17150529616
2026-01-13T19:05:14Z,2,19581768614,17150961796
2026-01-13T19:05:15Z,2,19582329777,17151416416
2026-01-13T19:05:16Z,2,19582930900,17151873436
2026-01-13T19:05:17Z,2,19583480274,17152249336
2026-01-13T19:05:18Z,2,19584031602,17152777876
2026-01-13T19:05:19Z,2,19584642119,17153259316
2026-01-13T19:05:20Z,2,19585191086,17153759596
2026-01-13T19:05:21Z,2,19585739438,17154115816
2026-01-13T19:05:22Z,2,19586290922,17154527116
2026-01-13T19:05:23Z,2,19586887120,17155091956
2026-01-13T19:05:24Z,2,19587437336,17155622836
2026-01-13T19:05:25Z,2,19587992064,17155976176
2026-01-13T19:05:26Z,2,19588581824,17156492476
2026-01-13T19:05:27Z,2,19589130428,17156949436
2026-01-13T19:05:28Z,2,19589686237,17157490876
2026-01-13T19:05:29Z,2,19590276573,17157955036
2026-01-13T19:05:30Z,2,19590827269,17158317616
2026-01-13T19:05:31Z,2,19591401439,17158760056
2026-01-13T19:05:32Z,2,19591995331,17159206336
2026-01-13T19:05:33Z,2,19592568314,17159741116
2026-01-13T19:05:34Z,2,19593116891,17160246316
2026-01-13T19:05:35Z,2,19593668749,17160601036
2026-01-13T19:05:36Z,2,19594263779,17161055416
2026-01-13T19:05:37Z,2,19594813511,17161372936
2026-01-13T19:05:38Z,2,19595365141,17161748176
2026-01-13T19:05:39Z,2,19595957439,17162226616
2026-01-13T19:05:40Z,2,19596507730,17162732716
2026-01-13T19:05:41Z,2,19597056082,17163307636
