algo,arm,seed,reward,viol_p1,delay_p1,drop_p1,viol_p2,delay_p2,drop_p2,viol_p4,delay_p4,drop_p4,viol_total
demand_prop,full,2,-10.384861871545755,16.075,29.284817106159075,0.43604634128961206,14.975,29.25322248757472,0.4356916946943254,16.6,29.838517041027924,0.43755425605942927,15.883333333333333
demand_prop,full,3,-8.397535843179464,13.225000000000001,23.735128910380695,0.3490243840197361,12.0,23.72423415684436,0.3490359563728115,13.55,24.176215458125757,0.3501113228258096,12.925000000000002
demand_prop,full,4,-8.406803158011655,13.125,23.735854262481073,0.35445566593250916,11.924999999999999,23.72754361688916,0.3544673915736523,13.55,24.118407144755125,0.3555936782972989,12.866666666666665
demand_prop,full,5,-9.195582954354522,14.35,25.95444923838763,0.3856286997642764,13.15,25.925351741597666,0.3853063841107232,14.899999999999999,26.442706174377783,0.3866732708829915,14.133333333333333
demand_prop,full,6,-12.170762126299808,18.675,34.323117686722384,0.5173338819658894,17.424999999999997,34.30489310336059,0.517771467819203,19.325,34.795732346672274,0.5197833374380485,18.474999999999998
demand_prop,full,7,-12.59149968402186,19.25,35.46165421868186,0.5388533579211391,17.95,35.36331492365752,0.5389879121384743,20.1,36.00296563711131,0.5408420598733683,19.1
demand_prop,full,8,-10.615094682695165,16.400000000000002,29.912292355785684,0.4489304993938297,15.2,29.883121739148578,0.44886560339201287,17.25,30.48457753778374,0.4504282704325146,16.283333333333335
demand_prop,full,9,-11.007403099490693,16.975,30.967047136130844,0.46429000377671903,15.75,31.091039868391025,0.4643874253836037,17.424999999999997,31.63569200816423,0.4665283650077813,16.716666666666665
dqn,full,0,-19.865620463288135,60.525,67.21632854390776,0.8496715332986379,99.675,199.34998114729578,3.321778724833797,13.125,22.913676845896916,0.11852295185817956,57.775
dqn,full,1,-13.72093122957499,17.625,25.225040550222577,0.21343116854962443,99.6,199.2664914015748,2.8944636081323654,21.0,32.31039152959604,0.3406008654826536,46.074999999999996
dqn,full,2,-15.945910165937669,49.525000000000006,47.68143853486449,0.26221519781513963,98.175,196.35070410977855,3.0154829721263368,12.975,23.23250545630419,0.2252433963945449,53.55833333333333
dqn,full,3,-10.043291853321186,2.6,3.326296732672574,0.010381047280954231,99.65,199.27901829268293,3.1664050966149215,15.55,28.947115771829363,0.5102644496497581,39.266666666666666
dqn,full,4,-11.786510397515897,9.225,13.648707540347644,0.03154599674473524,99.6,199.36293813539191,2.7246944944696017,43.75,35.69222247776558,0.36931984414500074,50.85833333333333
dqn,full,5,-12.051230585661768,8.425,11.60252635626862,0.030669875615979857,99.575,199.207913125,2.90568879575255,36.575,37.81715051321142,0.3953821039926052,48.19166666666666
dqn,full,6,-14.00256464917034,26.75,30.704816664850807,0.22141431842564835,99.55000000000001,198.8774255345461,2.266332956787718,17.2,32.37614051997444,0.3745051740754666,47.833333333333336
dqn,full,7,-14.069513880138077,4.6,4.640487818577058,0.011758152145700501,99.6,199.32479125288685,3.0893507950189445,62.3,58.806496146960164,0.632107798891506,55.5
dqn,full,8,-34.36543340818064,43.375,86.22714738231967,1.5493366381166818,99.6,199.2270251163249,3.26867153953821,43.95,86.5292822646412,1.8392950688893763,62.30833333333334
dqn,full,9,-12.254779201951958,0.475,0.512608214977713,0.002438947490820224,99.52499999999999,198.9288566893424,3.106661350907485,49.725,49.35353715214592,0.6903933122181509,49.90833333333333
no_control,full,0,-28.947225932857144,16.650000000000002,30.631563500000002,0.44300721000000004,15.55,30.664784,0.44345333000000003,99.275,162.73068000000006,0.59025015,43.82500000000001
no_control,full,1,-29.019882324952384,16.775000000000002,30.933567000000004,0.4525191200000001,15.725,30.875538499999998,0.4528016560000001,98.925,162.623509,0.6069619679999999,43.80833333333334
no_control,full,2,-27.927702123333336,15.45,27.895258000000002,0.40151040200000004,14.325,27.9250665,0.40144420000000003,99.125,159.84793100000002,0.535694838,42.96666666666667
no_control,full,3,-27.29237247666667,12.425,22.5294125,0.32068539400000007,11.450000000000001,22.533773500000002,0.3209556,99.15,163.59838200000004,0.43936206600000005,41.00833333333333
no_control,full,4,-26.92213727219048,12.375,22.606665500000002,0.326246024,11.450000000000001,22.612167000000003,0.32648315,99.02499999999999,160.76959000000002,0.44613992199999997,40.949999999999996
no_control,full,5,-27.28758219809524,13.625000000000002,24.6977895,0.35470274800000007,12.55,24.696257499999998,0.35467066199999997,98.825,160.19159950000002,0.48206940000000004,41.666666666666664
no_control,full,6,-29.325511258380953,17.825,32.869991,0.476942002,16.725,32.8555845,0.47762633400000004,99.0,161.87817600000002,0.63847587,44.51666666666667
no_control,full,7,-29.97349950971429,18.4,33.9687165,0.49717975600000003,17.2,33.8807655,0.49761837200000003,99.1,164.65894,0.664011596,44.9
no_control,full,8,-28.287116021809524,15.6,28.5489165,0.41370078400000004,14.499999999999998,28.530555500000002,0.41391654600000005,98.97500000000001,161.22490200000001,0.558772968,43.025000000000006
no_control,full,9,-28.89083394676191,16.1,29.647008999999997,0.42741404,15.2,29.769999,0.42760251600000004,99.47500000000001,163.87869350000003,0.5707472359999999,43.59166666666667
ppo,full,0,-27.37215334739423,59.575,118.62197305648421,2.035846785338775,99.65,199.32709429750855,3.1458586803012962,6.7,8.398696181260714,0.03738436295338836,55.30833333333334
ppo,full,1,-31.358844946517127,70.7,141.09792813180914,2.451843430983544,45.625,90.81893432888799,1.164078285635404,31.324999999999996,29.973430187033443,0.1446793302555885,49.21666666666667
ppo,full,2,-10.54559439076345,7.55,5.448220475097024,0.004361110450590236,98.97500000000001,197.60352979807962,3.1634869726041224,17.724999999999998,30.72525460563232,0.5064701174481836,41.416666666666664
ppo,full,3,-11.6571929377775,11.65,21.434710977554072,0.17629303407186006,98.97500000000001,197.86018177070363,3.14839530992417,10.775,20.86747912557311,0.16827285088556512,40.466666666666676
ppo,full,4,-9.829891940391654,7.1,8.341269675201898,0.007422743602137137,98.75,197.44910931114188,3.1298944947699483,13.025,23.084031321359014,0.3768980778656126,39.625
ppo,full,5,-16.8554018780833,32.9,61.831147272557075,0.9521615133346313,99.2,198.42294537881563,3.104206001450005,4.3,6.8041272788547245,0.05410760528737434,45.46666666666667
ppo,full,6,-11.645430095812939,7.775,9.711630223866239,0.04730405482026693,99.125,198.04249474706444,3.304855341285182,17.175,31.838374657496697,0.5408283715604761,41.358333333333334
ppo,full,7,-33.62247817877514,79.475,158.6694269387542,2.762814409055689,49.05,96.92280128341804,1.1245880469611012,12.525,22.735109839806317,0.07681997142955152,47.01666666666666
ppo,full,8,-42.15931456274686,20.05,40.1,0.6857628763309549,77.95,155.77881152548358,2.05290654035822,100.0,199.46140389374392,3.9999422762632837,66.0
ppo,full,9,-28.312012324409057,62.075,123.26442895237962,2.0892266330983715,98.6,197.0917255122417,3.2207699268450587,7.3,8.93933379107596,0.04871931922746008,55.991666666666674
sdhppo,full,0,-11.386860432952506,18.975,32.918519085172534,0.4793808405238294,31.324999999999996,58.961422057089706,0.5147057095795282,16.7,31.09299070359287,0.4569601558251643,22.333333333333332
sdhppo,full,1,-12.070152799358363,16.525000000000002,30.915666426835813,0.457791603775012,56.325,94.7776952815781,0.5299508951016454,26.650000000000002,36.68245671439882,0.49538395721730627,33.16666666666667
sdhppo,full,2,-10.586174532587364,18.65,29.906192263393173,0.4139405742999561,38.05,70.06768477316386,0.45160589175623184,16.075,29.723189197776442,0.44954350649231617,24.25833333333333
sdhppo,full,3,-8.89190312452078,17.424999999999997,25.374228970534148,0.34577950829005455,60.525,98.09987142545876,0.39263025498519294,12.375,22.82881909733337,0.3222563165508053,30.10833333333333
sdhppo,full,4,-8.580731338799003,11.875,22.20220257894471,0.3125025892720557,35.375,63.44859117622897,0.391057371761109,17.05,26.192644585020798,0.36703595465211036,21.433333333333334
sdhppo,full,5,-9.621074846321648,13.175,24.796971940370636,0.3624796991652707,45.35,76.17837350420051,0.4114170660556914,22.125,29.56199234069205,0.3910352857691626,26.883333333333336
sdhppo,full,6,-12.474176938899623,24.325,36.42351094019311,0.49846673382608114,46.225,79.56791999378945,0.5444581530630459,17.95,33.347097698210035,0.51965538709863,29.5
sdhppo,full,7,-13.870447031032011,18.425,34.22408872733328,0.4910425016173005,45.2,78.01798494712081,0.5692936814765959,40.275,46.66695746188898,0.5669906668667687,34.63333333333333
sdhppo,full,8,-11.230309525130496,15.25,28.52217426490303,0.4229366850375362,54.625,89.18610740100327,0.47347056514109087,25.275,34.667559491924415,0.46093673532135315,31.71666666666667
sdhppo,full,9,-11.119439142579191,15.475,29.525521692944494,0.43532757853687654,49.8,83.08696233564706,0.512204079675286,20.25,32.48108022352713,0.4553508107913618,28.50833333333333
sdhppo,no_dueling,0,-11.54100206220224,16.35,30.701266182768638,0.44721673374523585,56.25,92.53061964028987,0.5298928023196326,21.349999999999998,33.26665435062204,0.47698786813501665,31.316666666666663
sdhppo,no_dueling,1,-12.123697850422625,16.225,30.748033037252068,0.4525955007953091,33.75,60.68365700162803,0.5130318157263234,35.3,39.46165963419504,0.5147376441656605,28.425
sdhppo,no_dueling,2,-10.69922419143193,14.524999999999999,27.394764761235205,0.3866146676385332,46.45,77.90081144144904,0.4754752129951415,22.6,33.165920264554316,0.45466656872940564,27.858333333333334
sdhppo,no_dueling,3,-9.166178154377453,24.224999999999998,27.79026091530019,0.3458167418196571,46.6,77.97898274599272,0.3582559161755874,12.925,23.370971454598365,0.35399601552100773,27.916666666666668
sdhppo,no_dueling,4,-8.476962816770591,15.0,24.345897373116166,0.3323226998476907,16.7,41.01674636974875,0.3677734731458221,13.075000000000001,23.618244390213075,0.3681389947872714,14.924999999999999
sdhppo,no_dueling,5,-10.250275262597969,12.950000000000001,24.37211360876866,0.34871664133621416,43.875,74.74447701692965,0.4173542514403841,34.75,35.730934954873,0.3987219090213589,30.525000000000002
sdhppo,no_dueling,6,-12.686054621298823,27.250000000000004,37.61047259498063,0.5104352795598035,50.724999999999994,84.86782748370503,0.5368315675224127,17.925,33.32597224291813,0.5182015067191378,31.966666666666665
sdhppo,no_dueling,7,-12.709380499075273,18.75,34.66735579954969,0.5076047874739409,51.6,86.30344526823232,0.5773038419652043,20.45,36.0209823758083,0.5402215025476116,30.266666666666666
sdhppo,no_dueling,8,-10.809786765919803,15.15,28.551057041506684,0.4126255429643934,39.675,70.2719658873121,0.48196824055895005,21.825,32.63056481152374,0.45998720608936794,25.549999999999997
sdhppo,no_dueling,9,-11.942836938242614,15.174999999999999,28.88885281511237,0.40035434712289814,37.824999999999996,68.43547044139515,0.5050311973249921,35.15,40.95522633699451,0.4986207199601229,29.38333333333333
sdhppo,no_mask,0,-13.708073802650652,14.95,29.607399187713767,0.35177457873498963,98.05,196.0707871985609,2.48094145313763,14.799999999999999,29.019259132326464,0.27627069588817693,42.6
sdhppo,no_mask,1,-29.499594538064546,70.775,141.03060449982797,2.4341968720660616,65.47500000000001,128.54436534947666,1.1709868654247062,20.025000000000002,14.56839558507809,0.053253376453440596,52.09166666666667
sdhppo,no_mask,2,-10.12173794397589,5.525,3.5512015314021546,0.006710117146842606,98.5,196.68237602677473,2.9276312536930926,21.349999999999998,31.72304298194238,0.5275112826430104,41.791666666666664
sdhppo,no_mask,3,-10.969273385980182,10.975,21.55288081811656,0.23966665928898442,99.225,198.1472906586235,2.190808611365917,11.075,21.634967783845457,0.2393563759945956,40.425
sdhppo,no_mask,4,-9.659979303801213,3.875,6.045206615758471,0.008575455711333424,98.475,196.78845229776448,2.8097397844697882,13.8,26.055972187990264,0.4638833552638337,38.71666666666666
sdhppo,no_mask,5,-31.025939369421934,68.25,135.3853865165985,2.2108253723059317,98.75,197.37098737546742,3.1083270587251053,21.0,14.934601184517266,0.07986794339566275,62.666666666666664
sdhppo,no_mask,6,-11.462273763564955,8.05,7.952983440945679,0.014347123408150263,96.65,193.0864974173267,3.1987024989551056,17.65,33.678692773522215,0.5859831206164506,40.78333333333333
sdhppo,no_mask,7,-37.356982383701755,15.049999999999999,30.065728782117745,0.5593317294445478,99.125,198.0317358125301,3.146169968719858,85.575,170.57940318539377,3.441439797184692,66.58333333333333
sdhppo,no_mask,8,-33.556007110383796,75.875,149.29971304298013,2.466785892077303,94.525,189.0475175282812,2.8872247570178655,7.3999999999999995,14.61105286538415,0.31076320179114186,59.26666666666667
sdhppo,no_mask,9,-29.29373216612321,67.025,133.60655707973672,2.1858271512471603,99.45,198.93765291739055,3.2606374818582666,2.0,2.8844416113068396,0.01161735521635174,56.15833333333334
