timestamp,s_pps_p1,s_util_p1,s_pps_p2,s_util_p2,s_pps_p4,s_util_p4,action_id,reward,sim_delay_p1,sim_delay_p2,sim_delay_p4
2026-01-19T08:01:42Z,0.38812541694462976,0.3889793983455746,0.38267385303010387,0.38638924913225964,0.43797313797313797,0.4401560223409422,2,-66.0896,2.16,33.78,21.93
2026-01-19T08:01:42Z,0.38812541694462976,0.3889793983455746,0.38267385303010387,0.38638924913225964,0.43797313797313797,0.4401560223409422,3,100.0352,6.71,6.72,2.44
2026-01-19T08:01:43Z,0.38532354903268845,0.3832141644654583,0.3795188642040226,0.38038185683592923,0.43632478632478633,0.43586370052209805,0,-67.3657,95.79,2.11,21.47
2026-01-19T08:01:43Z,0.38532354903268845,0.3832141644654583,0.3795188642040226,0.38038185683592923,0.43632478632478633,0.43586370052209805,1,-28.7399,95.79,32.88,2.1
2026-01-19T08:01:43Z,0.38532354903268845,0.3832141644654583,0.3795188642040226,0.38038185683592923,0.43632478632478633,0.43586370052209805,2,-65.9012,2.15,32.88,21.47
2026-01-19T08:01:43Z,0.38532354903268845,0.3832141644654583,0.3795188642040226,0.38038185683592923,0.43632478632478633,0.43586370052209805,3,100.5744,6.59,6.59,2.42
2026-01-19T08:01:44Z,0.3980653769179453,0.39692755471279406,0.39233600630997767,0.39420530767285955,0.4452380952380952,0.44569952039825156,0,-67.6364,99.87,2.11,22.53
2026-01-19T08:01:44Z,0.3980653769179453,0.39692755471279406,0.39233600630997767,0.39420530767285955,0.4452380952380952,0.44569952039825156,1,-28.9691,99.87,34.96,2.1
2026-01-19T08:01:44Z,0.3980653769179453,0.39692755471279406,0.39233600630997767,0.39420530767285955,0.4452380952380952,0.44569952039825156,2,-66.3255,2.16,34.96,22.53
2026-01-19T08:01:44Z,0.3980653769179453,0.39692755471279406,0.39233600630997767,0.39420530767285955,0.4452380952380952,0.44569952039825156,3,99.2204,6.92,6.92,2.45
