timestamp,s_pps_p1,s_util_p1,s_pps_p2,s_util_p2,s_pps_p4,s_util_p4,action_id,reward,sim_delay_p1,sim_delay_p2,sim_delay_p4
2026-01-19T07:57:59Z,0.39059372912671153,0.3878537961350729,0.3843170763517604,0.3845770200905508,0.4743589743300147,0.4731413616414388,3,-146.0102,6.69,6.67,6.15
2026-01-19T07:58:00Z,0.3874583055111769,0.39239248874836363,0.3817536479307379,0.3895894860021745,0.39890109887674596,0.4051178644087974,0,-142.2535,98.52,2.11,11.91
2026-01-19T07:58:00Z,0.3874583055111769,0.39239248874836363,0.3817536479307379,0.3895894860021745,0.39890109887674596,0.4051178644087974,1,82.3253,98.52,34.27,2.09
2026-01-19T07:58:00Z,0.3874583055111769,0.39239248874836363,0.3817536479307379,0.3895894860021745,0.39890109887674596,0.4051178644087974,2,-142.2535,2.16,34.27,11.91
2026-01-19T07:58:00Z,0.3874583055111769,0.39239248874836363,0.3817536479307379,0.3895894860021745,0.39890109887674596,0.4051178644087974,3,69.8857,6.8,6.79,2.35
2026-01-19T07:58:01Z,0.3861907938368118,0.38403032281386507,0.38089917179039706,0.3817130463064538,0.437667887641168,0.43715799306446973,0,-145.5768,96.04,2.11,21.61
2026-01-19T07:58:01Z,0.3861907938368118,0.38403032281386507,0.38089917179039706,0.3817130463064538,0.437667887641168,0.43715799306446973,1,82.2734,96.04,33.08,2.1
2026-01-19T07:58:01Z,0.3861907938368118,0.38403032281386507,0.38089917179039706,0.3817130463064538,0.437667887641168,0.43715799306446973,2,-145.5768,2.16,33.08,21.61
2026-01-19T07:58:01Z,0.3861907938368118,0.38403032281386507,0.38089917179039706,0.3817130463064538,0.437667887641168,0.43715799306446973,3,69.1911,6.61,6.61,2.43
2026-01-19T07:58:02Z,0.3843895930363983,0.38561705389167006,0.37853293017099165,0.3826926113212432,0.4360805860539633,0.4386728725819849,0,-145.6087,96.51,2.11,21.77
2026-01-19T07:58:02Z,0.3843895930363983,0.38561705389167006,0.37853293017099165,0.3826926113212432,0.4360805860539633,0.4386728725819849,1,82.2708,96.51,33.23,2.1
2026-01-19T07:58:02Z,0.3843895930363983,0.38561705389167006,0.37853293017099165,0.3826926113212432,0.4360805860539633,0.4386728725819849,2,-145.6087,2.16,33.23,21.77
